iter	Passed	Remaining
0	3	3990
1	6	3349
2	9	3058
3	11	2899
4	14	2828
5	16	2765
6	19	2716
7	21	2673
8	24	2648
9	26	2618
10	28	2594
11	31	2586
12	34	2583
13	36	2577
14	39	2565
15	41	2580
16	44	2568
17	46	2563
18	49	2559
19	52	2552
20	54	2545
21	57	2538
22	59	2530
23	62	2530
24	64	2527
25	67	2519
26	69	2511
27	72	2502
28	74	2496
29	77	2494
30	79	2495
31	82	2498
32	85	2499
33	87	2497
34	90	2495
35	93	2492
36	95	2489
37	98	2484
38	100	2480
39	103	2476
40	105	2473
41	108	2471
42	110	2468
43	113	2465
44	116	2461
45	118	2457
46	121	2454
47	123	2450
48	126	2445
49	128	2443
50	131	2438
51	133	2436
52	136	2437
53	140	2453
54	143	2470
55	146	2467
56	148	2464
57	151	2461
58	154	2458
59	156	2453
60	159	2449
61	161	2445
62	164	2446
63	167	2446
64	170	2446
65	172	2444
66	175	2445
67	178	2445
68	181	2443
69	183	2439
70	186	2435
71	188	2433
72	191	2433
73	194	2433
74	197	2432
75	200	2431
76	202	2430
77	205	2428
78	208	2429
79	211	2428
80	213	2426
81	216	2425
82	219	2423
83	222	2421
84	225	2427
85	229	2438
86	233	2448
87	236	2454
88	241	2467
89	244	2470
90	247	2469
91	250	2469
92	253	2467
93	255	2466
94	259	2467
95	261	2464
96	264	2460
97	266	2456
98	269	2455
99	274	2467
100	276	2464
101	279	2461
102	282	2458
103	284	2453
104	287	2449
105	289	2445
106	292	2441
107	295	2437
108	298	2436
109	300	2432
110	303	2429
111	305	2425
112	308	2422
113	311	2418
114	314	2417
115	316	2414
116	319	2411
117	322	2409
118	325	2406
119	327	2404
120	330	2400
121	333	2397
122	336	2395
123	338	2392
124	341	2390
125	344	2387
126	346	2384
127	349	2382
128	352	2379
129	355	2376
130	357	2374
131	360	2372
132	363	2370
133	366	2366
134	368	2363
135	371	2360
136	374	2357
137	377	2356
138	380	2353
139	382	2350
140	385	2347
141	387	2344
142	390	2340
143	393	2336
144	395	2333
145	398	2330
146	401	2328
147	404	2330
148	408	2332
149	411	2329
150	413	2325
151	417	2328
152	421	2330
153	424	2331
154	427	2330
155	430	2330
156	433	2329
157	436	2326
158	439	2323
159	441	2319
160	444	2317
161	447	2317
162	450	2314
163	453	2311
164	456	2308
165	458	2305
166	461	2303
167	464	2300
168	467	2296
169	469	2293
170	472	2290
171	475	2286
172	477	2283
173	480	2280
174	482	2276
175	485	2273
176	488	2270
177	491	2267
178	493	2264
179	496	2261
180	499	2258
181	501	2255
182	504	2251
183	507	2249
184	509	2245
185	512	2242
186	515	2239
187	517	2237
188	520	2234
189	523	2231
190	525	2227
191	528	2225
192	531	2223
193	534	2219
194	537	2217
195	539	2213
196	542	2210
197	545	2208
198	547	2205
199	550	2202
200	553	2198
201	555	2195
202	558	2192
203	561	2189
204	564	2187
205	566	2184
206	570	2185
207	574	2187
208	577	2184
209	579	2181
210	582	2178
211	585	2176
212	588	2173
213	590	2170
214	593	2167
215	596	2165
216	599	2162
217	601	2159
218	604	2155
219	607	2152
220	610	2150
221	612	2147
222	615	2144
223	618	2141
224	620	2137
225	623	2134
226	626	2132
227	628	2129
228	631	2126
229	634	2123
230	636	2120
231	639	2117
232	642	2114
233	644	2111
234	647	2108
235	650	2105
236	653	2102
237	655	2099
238	658	2096
239	660	2092
240	663	2089
241	666	2086
242	668	2083
243	671	2080
244	674	2077
245	676	2073
246	679	2071
247	681	2067
248	684	2064
249	687	2061
250	690	2059
251	692	2056
252	695	2053
253	698	2050
254	701	2048
255	705	2049
256	707	2046
257	710	2044
258	713	2041
259	716	2038
260	718	2035
261	721	2031
262	723	2028
263	726	2025
264	729	2022
265	732	2020
266	734	2017
267	737	2015
268	740	2012
269	743	2009
270	745	2006
271	748	2003
272	751	2001
273	754	1998
274	757	1996
275	760	1993
276	762	1990
277	765	1988
278	768	1985
279	770	1982
280	773	1979
281	776	1976
282	779	1973
283	781	1970
284	784	1967
285	786	1964
286	789	1961
287	792	1958
288	795	1956
289	797	1952
290	800	1949
291	802	1946
292	805	1943
293	808	1940
294	810	1938
295	813	1934
296	816	1931
297	818	1928
298	821	1925
299	824	1923
300	827	1921
301	829	1917
302	832	1915
303	835	1912
304	837	1909
305	841	1908
306	844	1906
307	847	1903
308	850	1900
309	852	1898
310	855	1895
311	858	1893
312	861	1891
313	864	1887
314	866	1884
315	869	1882
316	872	1879
317	874	1876
318	877	1873
319	880	1870
320	882	1867
321	885	1864
322	888	1861
323	890	1858
324	893	1854
325	895	1851
326	898	1848
327	900	1845
328	903	1842
329	906	1840
330	908	1837
331	911	1834
332	914	1832
333	917	1829
334	920	1826
335	922	1823
336	925	1820
337	928	1818
338	931	1815
339	933	1812
340	936	1809
341	938	1806
342	941	1802
343	944	1800
344	946	1797
345	949	1795
346	952	1792
347	955	1789
348	958	1787
349	960	1784
350	963	1781
351	966	1778
352	968	1775
353	971	1772
354	974	1770
355	978	1770
356	981	1768
357	984	1765
358	987	1762
359	990	1760
360	992	1757
361	995	1754
362	998	1751
363	1000	1748
364	1003	1746
365	1006	1743
366	1009	1741
367	1012	1738
368	1015	1735
369	1017	1733
370	1020	1730
371	1023	1727
372	1025	1724
373	1028	1721
374	1031	1718
375	1034	1716
376	1036	1713
377	1039	1710
378	1041	1707
379	1044	1704
380	1047	1701
381	1049	1698
382	1052	1695
383	1054	1692
384	1057	1689
385	1060	1686
386	1062	1683
